Annotation,Domain ID,Matched Members,Matched Count,Summed Significance Score,Enrichment P-value,Enrichment Q-value,Depletion P-value,Depletion Q-value
ribosomal large subunit export from nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
indole-containing compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of proteolysis involved in protein catabolic process,14,BLM10;CDH1;ESS1;MND2;PTH2;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6;SCM3;UBP6,13,123.0,0.001,0.06805263157894736,1.0,1.0
protein acetylation,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of exit from mitosis,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to microtubule organizing center,-1,,0,0.0,1.0,1.0,1.0,1.0
carbon catabolite repression of transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleoside triphosphate biosynthetic process,19,ATP1;ATP14;ATP15;ATP16;ATP17;ATP18;ATP19;ATP2;ATP20;ATP3;ATP4;ATP5;ATP6;ATP7;IMD2;IMD3;IMD4;TIM11;VMA1;YNK1,20,123.0,0.001,0.21550000000000002,1.0,1.0
regulation of polysaccharide metabolic process,60,BMH1;BMH2;CDC28;GAC1;GIP2;GLC7;IGD1;LRG1;PCL10;PCL6;PCL7;PCL8;PHO85;PIG2;PSK1;RHO1;SAK1,17,15.0,0.001,0.05621739130434782,1.0,1.0
positive regulation of protein modification process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of transport,10,AKL1;FMP46;ISW1;NPR1;PRK1;SAP155;SCS2;SEC6;SPC2;STE24;YPK1,11,95.53949623350333,0.006,0.19892307692307692,0.995,1.0
regulation of filamentous growth,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of post-translational protein modification,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA geometric change,-1,,0,0.0,1.0,1.0,1.0,1.0
methylguanosine-cap decapping,44,CDC36;DCP1;DCP2;DCS1;DCS2;DHH1;EAP1;EDC1;EDC2;EDC3;LSM1;MOT2;NOT3;NOT5;PAT1;RAI1,16,34.19382002601611,0.001,0.14366666666666666,1.0,1.0
regulation of protein modification by small protein conjugation or removal,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine ribonucleotide metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
ceramide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of protein catabolic process,14,CDH1;MAC1;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6,8,123.0,0.001,0.06805263157894736,1.0,1.0
mitochondrial cytochrome c oxidase assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
NADPH regeneration,-1,,0,0.0,1.0,1.0,1.0,1.0
ribonucleoside monophosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear-transcribed mRNA poly(A) tail shortening,44,CCR4;CDC36;CDC39;NOT3;NOT5;PAB1;PAN2;PAN3;PKC1;PKH1;PKH2;POP2;RPB7;VTS1,14,34.60205999132796,0.001,0.14366666666666666,1.0,1.0
regulation of nuclear cell cycle DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular bud site selection,-1,,0,0.0,1.0,1.0,1.0,1.0
"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",5,RPS0A;RPS0B;RPS21A;RPS21B;TSR1,5,150.0,0.001,0.1293,1.0,1.0
ribosomal small subunit assembly,7,ESF2;MRD1;NSR1;PWP2;RPS0A;RPS0B;RPS11B;RPS12;RPS14A;RPS14B;RPS15;RPS17A;RPS17B;RPS19A;RPS19B;RPS27A;RPS27B;RPS28A;RPS28B;RPS5;RRP5;RRP7;RSM19;RSM7,24,297.0,0.001,1.0,1.0,1.0
mitochondria-nucleus signaling pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to carbohydrate stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of telomere maintenance via telomere lengthening,-1,,0,0.0,1.0,1.0,1.0,1.0
export across plasma membrane,57,NHA1;PDR15;PDR5;PMA1;PMA2;QDR2;QDR3;SAP155;SAP185;SNQ2,10,10.397940008672037,0.004,1.0,0.994,1.0
regulation of protein transport,-1,,0,0.0,1.0,1.0,1.0,1.0
adenine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of heterochromatin organization,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear pore localization,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial protein processing,18,AFG3;COR1;CYM1;MAS1;MAS2;OCT1;OMA1;UBX2;YTA12,9,93.0,0.001,0.07605882352941176,1.0,1.0
microtubule-based movement,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA thio-modification,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of actin nucleation,-1,,0,0.0,1.0,1.0,1.0,1.0
kinetochore assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
piecemeal microautophagy of the nucleus,53,ATG1;ATG11;ATG13;ATG15;ATG18;ATG2;ATG3;ATG8;ATG9;CDC48;NVJ1;OSH2;OSH3;OSH6;OSH7;SHP1;SNX4;SWH1;TRS85;VAC8;VAM3;VAM6;VAM7;VPS30;VPS33;VPS41;YPT7,27,18.0,0.001,0.14366666666666666,1.0,1.0
regulation of mitotic recombination,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of rDNA heterochromatin formation,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleotide catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of programmed cell death,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular sterol transport,-1,,0,0.0,1.0,1.0,1.0,1.0
organic cation transport,-1,,0,0.0,1.0,1.0,1.0,1.0
response to xenobiotic stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
alcohol catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
membrane assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear RNA surveillance,31,AIR1;AIR2;CSL4;DIS3;EFG1;GBP2;HRB1;LRP1;MLP1;MPP6;MTR3;MTR4;NAB3;NRD1;PAP2;PRP18;RAI1;RAT1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SAC3;SKI6;SUS1;THP1;TRF5,30,135.0,0.001,0.036942857142857145,0.98,1.0
regulation of double-strand break repair,-1,,0,0.0,1.0,1.0,1.0,1.0
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",31,CSL4;DIS3;GSP1;LRP1;MPP6;MTR3;MTR4;REX3;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6,16,135.0,0.001,0.036942857142857145,0.988,1.0
ascospore-type prospore membrane formation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of translational initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
polyadenylation-dependent snoRNA 3'-end processing,31,LRP1;MTR3;MTR4;PAP2;RRP4;RRP40;RRP46;RRP6;SKI6;TRF5,10,141.66554624884907,0.001,0.036942857142857145,0.994,1.0
cell wall chitin metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
RNA (guanine-N7)-methylation,-1,,0,0.0,1.0,1.0,1.0,1.0
protein methylation,-1,,0,0.0,1.0,1.0,1.0,1.0
vitamin transport,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of cell communication,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear cell cycle DNA replication initiation,49,DBF4;FKH1;FKH2;MCM2;MCM3;MCM4;POL1;PSF3;RIF1,9,18.46470587995723,0.001,0.6465,1.0,1.0
global genome nucleotide-excision repair,-1,,0,0.0,1.0,1.0,1.0,1.0
inorganic anion transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
actin filament depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
polyamine transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of actin filament depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of pseudohyphal growth,-1,,0,0.0,1.0,1.0,1.0,1.0
cytoplasm protein quality control by the ubiquitin-proteasome system,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of meiotic DNA double-strand break formation,-1,,0,0.0,1.0,1.0,1.0,1.0
aminoacyl-tRNA metabolism involved in translational fidelity,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of filamentous growth,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of secretion by cell,-1,,0,0.0,1.0,1.0,1.0,1.0
budding cell bud growth,-1,,0,0.0,1.0,1.0,1.0,1.0
polyadenylation-dependent RNA catabolic process,31,AIR1;AIR2;CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;PAP2;RAI1;RAT1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SKI6;TRF5,20,135.0,0.001,0.036942857142857145,0.986,1.0
nuclear protein quality control by the ubiquitin-proteasome system,-1,,0,0.0,1.0,1.0,1.0,1.0
cytoplasmic translational initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
pyridine nucleotide catabolic process,38,CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SMN1;TDH1;TDH2;TDH3;TPI1,23,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
cell wall polysaccharide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
GTP metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of protein localization,-1,,0,0.0,1.0,1.0,1.0,1.0
ubiquitin recycling,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, no-go decay",-1,,0,0.0,1.0,1.0,1.0,1.0
Golgi to endosome transport,53,CHC1;DOP1;ENT3;ENT5;GGA2;MUK1;PEP1;PEP3;PEP5;PEP7;VPS13;VPS16;VPS21;VPS45;YPT52;YPT6,16,22.0,0.001,0.14366666666666666,1.0,1.0
establishment of sister chromatid cohesion,-1,,0,0.0,1.0,1.0,1.0,1.0
biogenic amine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
karyogamy involved in conjugation with cellular fusion,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of DNA trinucleotide repeats,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of macroautophagy,-1,,0,0.0,1.0,1.0,1.0,1.0
"protein import into peroxisome matrix, receptor recycling",63,PEX1;PEX10;PEX12;PEX2;PEX6,5,12.665546248849068,0.001,1.0,0.994,1.0
endoplasmic reticulum unfolded protein response,10,BCK1;DFM1;EDE1;HRD1;IRE1;ISW1;KAR2;KIN1;KIN2;MID2;OPI1;OTU1;PMT1;PMT2;PMT4;PTC2;SKN7;SLT2;SPT20;VPS74;YAP1;YOS9;YPT1,23,116.0557101864488,0.002,0.0808125,0.982,1.0
negative regulation of cell cycle G2/M phase transition,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of formation of translation preinitiation complex,-1,,0,0.0,1.0,1.0,1.0,1.0
response to pH,-1,,0,0.0,1.0,1.0,1.0,1.0
phytosteroid metabolic process,10,ARE2;ERG1;ERG10;ERG11;ERG2;ERG20;ERG24;ERG25;ERG26;ERG27;ERG28;ERG29;ERG3;ERG4;ERG5;ERG6;ERG7;ERG9;GRE2;HMG1;HMG2;IDI1;MCR1;MOT3;NCP1;RRI1,26,129.0,0.001,0.044586206896551725,0.985,1.0
tRNA nucleoside ribose methylation,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic division septum assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
diol biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
lipid droplet organization,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of lipid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of lipid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of DNA biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of DNA-templated transcription initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleotide salvage,60,ADO1;AMD1;APT1;APT2;HPT1;XPT1,6,10.484550065040281,0.008,0.3566896551724138,1.0,1.0
regulation of cell growth,-1,,0,0.0,1.0,1.0,1.0,1.0
reactive nitrogen species metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of ATP-dependent activity,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleoside diphosphate catabolic process,38,CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;TDH1;TDH2;TDH3;TPI1,22,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
stress-activated protein kinase signaling cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
septin ring assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
detoxification,-1,,0,0.0,1.0,1.0,1.0,1.0
biological process involved in intraspecies interaction between organisms,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to plasma membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
snRNA modification,-1,,0,0.0,1.0,1.0,1.0,1.0
translational frameshifting,45,ANB1;ASC1;HYP2;SSB1;SSB2;SSZ1;ZUO1,7,27.0,0.001,0.2586,1.0,1.0
receptor-mediated endocytosis,47,AKL1;APL3;APM2;APM4;ARC35;ARK1;CHC1;CLC1;CMD1;FPK1;GLC7;HRR25;LDB19;MYO5;PRK1;ROD1;ROG3;SCD5;SWA2;UBX3;YAP1801;YAP1802;YPP1,23,27.0,0.001,0.1293,0.982,1.0
maintenance of location in cell,27,BRE5;CSG2;DID4;EMP24;EPS1;ERD2;ERP1;ERP2;ERP3;ERP4;NUM1;PEP8;PFY1;PTP2;RER1;SDS22;SVP26;TWF1;UBP3;VPS1;VPS13;VPS15;VPS27;VPS35;VPS36;VPS4;VPS5;VPS74;WTM1,29,90.0,0.001,0.09946153846153846,0.986,1.0
nucleoside metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
ER-dependent peroxisome organization,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA transcription by RNA polymerase III,17,BUD27;DST1;RET1;RPB10;RPB5;RPB8;RPC10;RPC11;RPC17;RPC19;RPC25;RPC31;RPC34;RPC37;RPC40;RPC53;RPC82;RPO26;RPO31,19,111.0,0.001,0.07605882352941176,1.0,1.0
protein quality control for misfolded or incompletely synthesized proteins,10,AFG1;CDC48;FES1;GIM3;KRE5;MCA1;MDJ1;MGR1;MGR3;NPL4;OMA1;PEX10;PIM1;PMT1;PMT2;PNG1;RAD6;SAN1;SEC7;SGT1;SIS1;SMY2;SSA3;STE24;STS1;UBC4;UBR1;UBR2;UFD1;VMS1;YME1,31,90.16713055934642,0.008,0.2586,0.979,1.0
rescue of stalled ribosome,-1,,0,0.0,1.0,1.0,1.0,1.0
trehalose metabolism in response to stress,-1,,0,0.0,1.0,1.0,1.0,1.0
inorganic anion transport,-1,,0,0.0,1.0,1.0,1.0,1.0
"mitochondrial electron transport, ubiquinol to cytochrome c",18,CYC1;CYT1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1,9,93.0,0.001,0.07605882352941176,1.0,1.0
tRNA wobble uridine modification,-1,,0,0.0,1.0,1.0,1.0,1.0
U1 snRNA 3'-end processing,31,RRP42;RRP43;RRP45;RRP6;SKI6,5,135.0,0.001,0.036942857142857145,0.995,1.0
endoplasmic reticulum inheritance,55,MYO4;RTN1;RTN2;SCS2;SEC3;SEC5;SEC8;SHE3;SWA2;YOP1,10,18.0,0.001,0.21550000000000002,1.0,1.0
DNA-templated transcription termination,-1,,0,0.0,1.0,1.0,1.0,1.0
aromatic amino acid family biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of small GTPase mediated signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear pore organization,-1,,0,0.0,1.0,1.0,1.0,1.0
purine nucleotide transport,-1,,0,0.0,1.0,1.0,1.0,1.0
double-strand break repair via nonhomologous end joining,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of exocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
dicarboxylic acid transport,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'",31,CSL4;MTR3;NAM7;NMD2;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;SKA1;SKI2;SKI3;SKI6;SKI7;SKI8;UPF3,17,135.0,0.001,0.036942857142857145,0.983,1.0
regulation of glycogen metabolic process,60,BMH1;BMH2;CDC28;GAC1;GIP2;GLC7;IGD1;PCL10;PCL6;PCL7;PCL8;PHO85;PIG2;PSK1;SAK1,15,15.0,0.001,0.05621739130434782,1.0,1.0
phospholipid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay",44,CDC36;DCP1;DCP2;DCS1;EDC1;EDC3;MOT2;NOT5;RAI1;XRN1,10,34.309803919971486,0.001,0.14366666666666666,1.0,1.0
vesicle fusion with Golgi apparatus,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of intracellular transport,52,CLA4;FUS3;POR1;RIO2;SAR1;SKY1,6,14.0,0.01,1.0,1.0,1.0
regulation of microtubule-based process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cell cycle checkpoint,-1,,0,0.0,1.0,1.0,1.0,1.0
nicotinamide nucleotide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of glycogen biosynthetic process,60,GAC1;GIP2;PCL10;PCL6;PCL7;PCL8;PHO85;PIG2;PSK1;SAK1,10,15.0,0.001,0.05621739130434782,1.0,1.0
amino sugar biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic DNA replication initiation,49,DBF4;FKH1;FKH2;MCM2;MCM3;MCM4;POL1;PSF3;RIF1,9,18.46470587995723,0.001,0.6465,1.0,1.0
spliceosomal tri-snRNP complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
interstrand cross-link repair,-1,,0,0.0,1.0,1.0,1.0,1.0
rDNA chromatin condensation,-1,,0,0.0,1.0,1.0,1.0,1.0
cell wall chitin biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
peptidyl-lysine methylation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein localization to nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
response to unfolded protein,10,BCK1;DFM1;EDE1;GLC7;HRD1;HSP60;IRE1;ISW1;KAR2;KIN1;KIN2;LHS1;MID2;OPI1;OTU1;PMT1;PMT2;PMT4;PTC2;REG1;SCJ1;SKN7;SLT2;SNF1;SPT20;TCM62;VPS74;YAP1;YOS9;YPT1;ZIM17,31,103.11142037289761,0.004,0.14366666666666666,0.979,1.0
negative regulation of intracellular signal transduction,60,BCY1;BEM2;BEM3;CDH1;FIN1;FUS3;GPB1;GPB2;HSF1;IML1;IRA1;IRA2;LRG1;MND2;MSG5;NET1;NPR2;NPR3;PBP1;PHO80;PHO85;PPH3;PSR1;PSY2;PSY4;PTP2;PTP3;SAC7;STE5;TIP41;TOF2;WHI2,32,15.0,0.001,0.05621739130434782,1.0,1.0
mitotic morphogenesis checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
protein import into mitochondrial intermembrane space,-1,,0,0.0,1.0,1.0,1.0,1.0
response to cadmium ion,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of cellular response to amino acid starvation,-1,,0,0.0,1.0,1.0,1.0,1.0
flavin-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment of spindle localization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitotic cell cycle spindle assembly checkpoint,48,CDC55;CDH1;FIN1;ISC1;MAD1;MND2,6,16.366059924485402,0.009,0.6124736842105263,1.0,1.0
glycerophospholipid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
aerobic electron transport chain,18,COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX7;COX8;COX9;CYC1;CYT1;MTC3;NDI1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1;SDH4;SDH5;SDH9,25,93.0,0.001,0.07605882352941176,1.0,1.0
sphingolipid biosynthetic process,10,AUR1;CSG2;ELO1;ELO2;ELO3;FLC1;FLC2;FLC3;IFA38;ISC1;LAC1;LAG1;LCB1;LCB2;LCB4;LCB5;LDB16;LIP1;NPR1;SCH9;SEI1;SKN1;SUR1;SUR2;SVF1;TIM54;TOR1;TSC3;YDC1;YPK1,30,129.0,0.001,0.044586206896551725,0.98,1.0
regulation of stress-activated protein kinase signaling cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
calcium ion transport,-1,,0,0.0,1.0,1.0,1.0,1.0
IRE1-mediated unfolded protein response,-1,,0,0.0,1.0,1.0,1.0,1.0
glucosamine-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear mRNA surveillance,31,AIR1;AIR2;DIS3;GBP2;HRB1;LRP1;MLP1;MPP6;MTR3;MTR4;NAB3;NRD1;PAP2;PRP18;RAT1;RRP4;RRP42;RRP43;RRP45;RRP46;RRP6;SAC3;SKI6;SUS1;THP1,25,135.0,0.001,0.036942857142857145,0.983,1.0
protein dephosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
glycerolipid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
autophagy of mitochondrion,-1,,0,0.0,1.0,1.0,1.0,1.0
septum digestion after cytokinesis,-1,,0,0.0,1.0,1.0,1.0,1.0
protein monoubiquitination,-1,,0,0.0,1.0,1.0,1.0,1.0
microtubule depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of protein localization to nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
sulfur compound catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
NAD metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mRNA 3'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
sterol metabolic process,10,ARE2;ATG26;CYB5;ERG1;ERG10;ERG11;ERG2;ERG20;ERG24;ERG25;ERG26;ERG27;ERG28;ERG29;ERG3;ERG4;ERG5;ERG6;ERG7;ERG9;GRE2;HMG1;HMG2;IDI1;MCR1;MOT3;NCP1;NSG1;OSH6;OSH7;PDR16;RRI1;SAY1;TGL1;VPS4;YEH1,36,129.0,0.001,0.044586206896551725,0.981,1.0
telomere maintenance via telomerase,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to misfolded protein,10,CDC48;FES1;GIM3;IML2;KRE5;NPL4;PMT1;PMT2;RAD6;SAN1;SIS1;SMY2;STE24;STS1;UBC4;UBR1;UBR2;UFD1;VMS1;YHB1,20,116.0557101864488,0.002,0.0808125,0.985,1.0
isoprenoid biosynthetic process,10,BTS1;ERG20;ERG7;ERG9;HMG1;HMG2;IDI1;NUS1;RER2,9,129.0,0.001,0.044586206896551725,0.995,1.0
threonine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
methionine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
RNA surveillance,31,AIR1;AIR2;CSL4;DIS3;DOM34;EFG1;GBP2;HRB1;LRP1;MLP1;MPP6;MTR3;MTR4;NAB3;NRD1;PAP2;PRP18;RAI1;RAT1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SAC3;SKI6;SUS1;THP1;TRF5,31,135.0,0.001,0.036942857142857145,0.98,1.0
serine family amino acid metabolic process,34,CHA1;CYS3;CYS4;DFR1;FPR1;GCV1;GCV2;GCV3;GLY1;HOM2;HOM3;HOM6;ILV1;LPD1;MCY1;MET14;MET30;MET4;PYP1;SCH9;SER1;SER2;SER3;SER33;SHM1;SHM2;STR3;YHR112C;YML082W,29,47.05242228289553,0.009,0.5289545454545455,0.983,1.0
zinc ion transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of transcription by RNA polymerase III,-1,,0,0.0,1.0,1.0,1.0,1.0
formation of cytoplasmic translation initiation complex,-1,,0,0.0,1.0,1.0,1.0,1.0
dicarboxylic acid metabolic process,34,AAT2;ARO1;ARO2;ARO3;ARO4;BNA1;BNA4;BNA5;CAR2;DFR1;FOL2;FUM1;GDH1;GDH2;GDH3;GLT1;HOM2;HOM3;IDH1;IDH2;IDP1;KGD1;KGD2;LPD1;MAE1;MDH1;MDH2;MDH3;MEU1;MIS1;NIT3;PCS60;PUT2;PUT3;SDH7;SHM1;SHM2;UGA2,38,69.0,0.001,0.09946153846153846,0.988,1.0
regulation of protein import into nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular copper ion homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
Golgi to plasma membrane protein transport,-1,,0,0.0,1.0,1.0,1.0,1.0
neutral lipid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular mRNA localization,17,BFR1;COP1;HEK2;LOC1;MIP6;MPT5;MYO4;NAM7;NUP60;PUF3;SEC26;SEC27;SHE2;SHE3;SHE4;SPT4;SPT5;SSD1,18,99.8618901604327,0.002,0.11754545454545455,0.999,1.0
tRNA transport,-1,,0,0.0,1.0,1.0,1.0,1.0
pentose metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of intracellular pH,25,DBF2;MEH1;NHX1;PFK1;PFK2;PMA1;PMA2;RAV1;RAV2;RRG1;SKP1;STV1;VMA1;VMA10;VMA11;VMA13;VMA16;VMA2;VMA3;VMA4;VMA5;VMA6;VMA7;VMA8;VPH1;VPS3;VPS45,27,90.0,0.001,0.09946153846153846,1.0,1.0
fatty acid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mRNA modification,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of supramolecular fiber organization,-1,,0,0.0,1.0,1.0,1.0,1.0
mannose metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of establishment of protein localization,52,ALY2;CLA4;FUS3;POR1;SAR1;SKY1,6,14.0,0.01,1.0,1.0,1.0
serine family amino acid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
organelle transport along microtubule,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to glucose starvation,-1,,0,0.0,1.0,1.0,1.0,1.0
glutamine family amino acid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA strand elongation involved in DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
potassium ion transmembrane transport,25,ENA1;KHA1;NHA1;NHX1;QDR2;SAP155;SAP185;TRK1;VCX1;VHC1;VNX1;YVC1,12,90.0,0.001,0.09946153846153846,1.0,1.0
nucleoside monophosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein insertion into mitochondrial membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
cysteine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular glucose homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
cell wall assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of attachment of spindle microtubules to kinetochore,61,ASK1;CDC7;DAD1;DAD2;DAD3;DAM1;DUO1;HSK3;MPS1;SPC19;SPC34,11,15.0,0.001,0.43100000000000005,1.0,1.0
